bad_verdicts_list,dt,publication_title_name,topics_verdicts_list,shows,ent,persons,organizations,locations,country
[],2025-10-17T09:07:22Z,Дочь Федосеевой-Шукшиной рассказала о состоянии матери,[],45394,"{'persons': ['Федосеевой-Шукшиной'], 'organizations': [], 'locations': []}",['Федосеевой-Шукшиной'],[],[],[]
['Желтуха'],2025-10-01T01:45:11Z,В России водители ночуют у АЗС в ожидании бензина,[],58964,"{'persons': [], 'organizations': ['АЗС'], 'locations': ['россия']}",[],['АЗС'],['россия'],['RUS']
[],2025-10-26T04:06:16Z,В федерации кинологов назвали лучшие породы для детей,[],50377,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Трагическое', 'Политика', 'Конфликт']",2025-10-26T04:02:35Z,"Алаудинов: украинцы активно сотрудничают с ВС РФ, присылая координаты ТЦК",['Политический конфликт'],94782,"{'persons': [], 'organizations': ['ВС', 'ТЦК'], 'locations': ['рф']}",[],"['ВС', 'ТЦК']",['рф'],['RUS']
['Трагическое'],2025-09-16T14:16:04Z,В Екатеринбурге присяжные оправдали экс-милиционера по делу об убийстве,[],45250,"{'persons': [], 'organizations': [], 'locations': ['екатеринбург']}",[],[],['екатеринбург'],[]
"['Желтуха', 'Политика']",2025-09-26T15:55:00Z,FT: российское научное судно «не дает спать» НАТО,['Политика'],69340,"{'persons': [], 'organizations': ['FT', 'НАТО'], 'locations': []}",[],"['FT', 'НАТО']",[],[]
[],2025-10-31T06:59:00Z,Хуснутдинова: «Загитова всегда была моим кумиром»,[],11759,"{'persons': ['Загитова'], 'organizations': [], 'locations': []}",['Загитова'],[],[],[]
[],2025-10-02T13:27:27Z,Выдачи ипотеки в сентябре в России выросли на 11%,['Экономика'],31109,"{'persons': [], 'organizations': [], 'locations': ['россия']}",[],[],['россия'],['RUS']
['Политика'],2025-09-03T02:04:01Z,"Эксперт рассказал, о чем говорит флаг России в Пекине",['Политика'],61581,"{'persons': [], 'organizations': [], 'locations': ['пекин', 'россия']}",[],[],"['пекин', 'россия']",['RUS']
['Политика'],2025-09-01T07:48:12Z,Путин назвал Турцию надежным и проверенным временем партнером России,['Политика'],71757,"{'persons': [], 'organizations': [], 'locations': ['турция', 'россия']}",[],[],"['турция', 'россия']","['RUS', 'TUR']"
[],2025-09-17T13:14:00Z,Адвокатам дали лишь две недели на изучение дела Гуцул из 67 томов,[],26146,"{'persons': ['Гуцул'], 'organizations': [], 'locations': []}",['Гуцул'],[],[],[]
"['Желтуха', 'Политика', 'Конфликт']",2025-09-17T13:11:00Z,А разговоров-то было: Трамп сдался и пошлет оружие ВСУ. Как делец похоронил миротворца,"['Политика', 'Политический конфликт']",29419,"{'persons': ['Трамп'], 'organizations': ['ВСУ'], 'locations': []}",['Трамп'],['ВСУ'],[],[]
"['Трагическое', 'Желтуха']",2025-10-10T04:41:00Z,В Тюменской области водитель сбил насмерть лося,[],40349,"{'persons': [], 'organizations': [], 'locations': ['тюменская область']}",[],[],['тюменская область'],[]
['Политика'],2025-10-29T09:53:59Z,"В Госдуме рассказали, какая скидка на оплату ЖКУ доступна многодетным семьям",[],89668,"{'persons': [], 'organizations': ['Госдума'], 'locations': []}",[],['Госдума'],[],[]
['Политика'],2025-09-08T11:17:41Z,Лавров удивился отсутствию лабубу в китайской резиденции Путина,['Политика'],26584,"{'persons': ['Лавров', 'Путин'], 'organizations': [], 'locations': []}","['Лавров', 'Путин']",[],[],[]
[],2025-10-10T06:22:00Z,В Красноярске бывший глава строительной фирмы задержан за сокрытие налогов,[],54695,"{'persons': [], 'organizations': [], 'locations': ['красноярск']}",[],[],['красноярск'],[]
['Желтуха'],2025-10-26T19:15:00Z,Поп-звезда и ее сын в автомобиле: Кети Топурия показала редкие снимки с Адамом,[],36431,"{'persons': ['Кети Топурия', 'Адам'], 'organizations': [], 'locations': []}","['Кети Топурия', 'Адам']",[],[],[]
[],2025-10-14T10:31:21Z,В МГТУ имени Баумана при ремонте лифта погиб рабочий,[],95872,"{'persons': [], 'organizations': ['МГТУ имени Баумана'], 'locations': []}",[],['МГТУ имени Баумана'],[],[]
[],2025-11-01T10:32:59Z,Сергей Бурунов и Гарик Харламов простились с Романом Поповым,[],74875,"{'persons': ['Сергей Бурунов', 'Роман Попов', 'Гарик Харламов'], 'organizations': [], 'locations': []}","['Сергей Бурунов', 'Роман Попов', 'Гарик Харламов']",[],[],[]
[],2025-11-01T10:27:22Z,"Диетолог рассказал про осеннюю ягоду, вызывающую множество споров",['Еда'],20265,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-09-16T11:15:01Z,"Кто выиграет Лигу чемпионов? Суперкомпьютер верит в «Ливерпуль» и «Арсенал», а «Реал» — даже не в топ-6 фаворитов",['Спорт'],28565,"{'persons': ['Суперкомпьютер'], 'organizations': ['Арсенал', 'Реал', 'Ливерпуль'], 'locations': []}",['Суперкомпьютер'],"['Арсенал', 'Реал', 'Ливерпуль']",[],[]
['Политика'],2025-09-20T17:42:07Z,Навроцкий не пригласил Сикорского на борт самолёта в Нью-Йорк,['Политика'],67271,"{'persons': ['Навроцкий', 'Сикорский'], 'organizations': [], 'locations': ['нью-йорк']}","['Навроцкий', 'Сикорский']",[],['нью-йорк'],[]
['Политика'],2025-10-23T23:35:15Z,В Колумбии отметили утрату функциональности армии без вертолетов из России,['Политика'],55955,"{'persons': [], 'organizations': [], 'locations': ['россия', 'колумбия']}",[],[],"['россия', 'колумбия']","['COL', 'RUS']"
['Трагическое'],2025-09-04T12:19:19Z,"Прокуратура просит назначить срок отцу, чьи дети погибли из-за отравления дихлофосом",[],92412,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Политика', 'Конфликт']",2025-09-05T21:52:08Z,"Трамп заявил, что Европа возьмет на себя ответственность за безопасность Украины","['Политика', 'Политический конфликт']",5340,"{'persons': ['Трамп'], 'organizations': [], 'locations': ['украина', 'европа']}",['Трамп'],[],"['украина', 'европа']",['UKR']
[],2025-09-04T06:33:17Z,Ушел из жизни руководитель УФАС по Курской области Юрий Комов,[],58517,"{'persons': ['Юрий Комов'], 'organizations': ['УФАС'], 'locations': ['курская область']}",['Юрий Комов'],['УФАС'],['курская область'],[]
"['Трагическое', 'Желтуха', 'Политика', 'Конфликт']",2025-10-25T09:30:12Z,ВС РФ нанесли групповой удар по Украине в ответ на теракты Киева,['Политический конфликт'],46745,"{'persons': [], 'organizations': ['ВС'], 'locations': ['украина', 'киев', 'рф']}",[],['ВС'],"['украина', 'киев', 'рф']","['UKR', 'RUS']"
[],2025-10-31T08:33:22Z,РБК: власти обсудят повышение пошлин на «недружественный» алкоголь,['Политика'],84809,"{'persons': [], 'organizations': ['РБК'], 'locations': []}",[],['РБК'],[],[]
['Политика'],2025-09-20T18:53:44Z,Мишустин объявил о строительстве 239 мостов на пути Москва-Петербург,[],98221,"{'persons': [], 'organizations': [], 'locations': ['москва-петербург']}",[],[],['москва-петербург'],[]
[],2025-09-20T18:51:24Z,The Wall Street Journal: NASA установит реактор на Луне к 2029,[],9456,"{'persons': [], 'organizations': ['The Wall Street Journal', 'NASA'], 'locations': ['луна']}",[],"['The Wall Street Journal', 'NASA']",['луна'],[]
[],2025-09-20T18:49:03Z,"""Манчестер Юнайтед"" победил ""Челси"" благодаря голам Фернандеша и Каземиро",['Спорт'],35448,"{'persons': ['Каземиро', 'Фернандеш'], 'organizations': ['Манчестер Юнайтед', 'Челси'], 'locations': []}","['Каземиро', 'Фернандеш']","['Манчестер Юнайтед', 'Челси']",[],[]
[],2025-09-01T17:38:43Z,Заготовка кабачковой икры с яблоками на зиму! Простой и вкусный рецепт,['Еда'],39474,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-10-17T11:36:36Z,АвтоВАЗ начал окрашивать Lada Vesta «загадочной» эмалью,[],75414,"{'persons': [], 'organizations': ['АвтоВАЗ'], 'locations': []}",[],['АвтоВАЗ'],[],[]
"['Желтуха', 'Политика', 'Конфликт']",2025-09-03T05:22:33Z,Политолог Блохин: США могут выйти из урегулирования украинского конфликта,"['Политика', 'Политический конфликт']",98501,"{'persons': ['Блохин'], 'organizations': [], 'locations': ['сша']}",['Блохин'],[],['сша'],['USA']
['Трагическое'],2025-10-15T05:42:45Z,Два человека отравились неизвестной жидкостью в Петербурге,[],63238,"{'persons': [], 'organizations': [], 'locations': ['петербург']}",[],[],['петербург'],[]
"['Трагическое', 'Желтуха', 'Конфликт']",2025-10-31T05:00:06Z,Подземный город ВСУ и атака на ТЭЦ в Орле: новости СВО к утру 31 октября,['Политический конфликт'],78228,"{'persons': [], 'organizations': ['ТЭЦ', 'СВО', 'ВСУ'], 'locations': ['орел']}",[],"['ТЭЦ', 'СВО', 'ВСУ']",['орел'],[]
[],2025-10-10T11:59:04Z,К зданию Верховной рады привезли биотуалеты,[],77228,"{'persons': [], 'organizations': ['Верховная рада'], 'locations': []}",[],['Верховная рада'],[],[]
['Политика'],2025-09-17T01:22:05Z,Юрий Дудь отказался признать вину в деле об уклонении от обязанностей,[],39560,"{'persons': ['Юрий Дудь'], 'organizations': [], 'locations': []}",['Юрий Дудь'],[],[],[]
['Трагическое'],2025-09-20T12:18:57Z,В Рязанской области в результате массового ДТП погибли два человека,[],51959,"{'persons': [], 'organizations': [], 'locations': ['рязанская область']}",[],[],['рязанская область'],[]
[],2025-10-15T06:48:00Z,В Твери и четырех городах Тверской области не будет света 15 октября,[],26785,"{'persons': [], 'organizations': [], 'locations': ['тверь', 'тверская область']}",[],[],"['тверь', 'тверская область']",[]
['Политика'],2025-10-20T08:14:27Z,В Иране сообщили о продолжении обмена сообщениями с США через посредников,['Политика'],10711,"{'persons': [], 'organizations': [], 'locations': ['иран', 'сша']}",[],[],"['иран', 'сша']","['IRN', 'USA']"
[],2025-09-05T10:25:48Z,"Государев сад в Петрозаводске благоустроят за 83,4 млн руб.",[],17787,"{'persons': [], 'organizations': [], 'locations': ['государев сад', 'петрозаводск']}",[],[],"['государев сад', 'петрозаводск']",[]
[],2025-09-05T10:24:42Z,Грузооборот вырос за год в Вологодской области на 20%,[],47922,"{'persons': [], 'organizations': ['Грузооборот'], 'locations': ['вологодская область']}",[],['Грузооборот'],['вологодская область'],[]
[],2025-09-07T11:15:27Z,Учёные нашли «золотые квантовые иглы»,['Наука и природа'],87839,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Трагическое', 'Желтуха', 'Конфликт']",2025-09-07T23:17:48Z,Пленный Хвостик: мобилизованных украинцев не учили стрелять,['Политический конфликт'],18960,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-10-15T11:07:00Z,В Ярославле снова ищут площадку для нового кладбища,[],14486,"{'persons': [], 'organizations': [], 'locations': ['ярославль']}",[],[],['ярославль'],[]
['Политика'],2025-09-26T12:58:56Z,ЦБ представил обновленный проект ДКП на ближайшие три года,"['Экономика', 'Политика']",29364,"{'persons': [], 'organizations': ['ДКП', 'ЦБ'], 'locations': []}",[],"['ДКП', 'ЦБ']",[],[]
['Желтуха'],2025-09-04T06:58:05Z,Весна и осень канули в лету: глобальное потепление меняет сезоны в России,['Наука и природа'],77055,"{'persons': [], 'organizations': [], 'locations': ['россия']}",[],[],['россия'],['RUS']
['Желтуха'],2025-09-04T06:42:37Z,Теперь без рогов: самый знаменитый символ европейского города оказался родом из Китая,[],47244,"{'persons': [], 'organizations': [], 'locations': ['китай']}",[],[],['китай'],['CHN']
['Политика'],2025-10-10T05:38:46Z,Polymarket оценил шансы Трампа на Нобелевскую премию мира в 3%,[],78011,"{'persons': ['Трамп'], 'organizations': [], 'locations': []}",['Трамп'],[],[],[]
['Политика'],2025-09-09T04:29:33Z,"В Кремле раскрыли, как Путин отмечает день рождения",['Политика'],92064,"{'persons': ['Путин'], 'organizations': [], 'locations': ['кремль']}",['Путин'],[],['кремль'],[]
['Желтуха'],2025-09-09T04:35:00Z,Эксперт предупредил: мытьё мяса под водой опасно для здоровья,[],41026,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
['Конфликт'],2025-10-07T17:50:30Z,Взрывоопасные обломки БПЛА обнаружили посреди улицы в российском городе,['Политический конфликт'],86371,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-09-30T04:15:00Z,"Бенедикт Камбербэтч и ""чудо в перьях"": что известно о психологическом хорроре ""Сущность""",[],10182,"{'persons': ['Бенедикт Камбербэтч'], 'organizations': [], 'locations': []}",['Бенедикт Камбербэтч'],[],[],[]
['Политика'],2025-09-30T04:13:47Z,"""Юнармия"": военно-патриотические организации РФ не конкурируют между собой",[],69776,"{'persons': [], 'organizations': ['Юнармия'], 'locations': ['рф']}",[],['Юнармия'],['рф'],['RUS']
[],2025-09-16T09:45:00Z,В Красноярске подвели итоги сборов фигуристов перед отбором на Олимпиаду,['Спорт'],8933,"{'persons': [], 'organizations': [], 'locations': ['красноярск']}",[],[],['красноярск'],[]
['Желтуха'],2025-10-29T10:00:42Z,Ученый усомнился в спонтанном появлении жизни на Земле,['Наука и природа'],70413,"{'persons': [], 'organizations': [], 'locations': ['земля']}",[],[],['земля'],[]
['Желтуха'],2025-10-31T07:52:54Z,Дело Долиной поставило жирный крест на рынке вторичной недвижимости. Почему россияне боятся покупать чужие квартиры?,[],62609,"{'persons': ['Долиной'], 'organizations': [], 'locations': []}",['Долиной'],[],[],[]
['Желтуха'],2025-10-31T07:52:09Z,«Я лучше продам почку»: жена главного тренера сборной России решила вопрос с домашней уборкой,[],45865,"{'persons': [], 'organizations': [], 'locations': ['россия']}",[],[],['россия'],['RUS']
['Желтуха'],2025-10-31T07:28:16Z,Драма перед исчезновением. Что было внутри семьи Усольцевых?,[],73936,"{'persons': ['Усольцевых'], 'organizations': [], 'locations': []}",['Усольцевых'],[],[],[]
['Политика'],2025-09-04T10:24:00Z,МИД: Россия высылает эстонского дипломата в качестве ответной меры,['Политика'],43411,"{'persons': [], 'organizations': ['МИД'], 'locations': ['россия']}",[],['МИД'],['россия'],['RUS']
['Политика'],2025-10-02T14:34:38Z,"Экономист рассказал, как повышение НДС отразится на жизни россиян",['Экономика'],78184,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-10-29T02:30:00Z,В Прикамье ожидаются дожди и похолодание к концу недели,[],86849,"{'persons': [], 'organizations': [], 'locations': ['прикамье']}",[],[],['прикамье'],[]
[],2025-10-08T10:19:00Z,Рост цен при рекордной ставке: квартиры в Уфе становятся дороже и меньше,[],92112,"{'persons': [], 'organizations': [], 'locations': ['уфа']}",[],[],['уфа'],[]
[],2025-10-16T13:40:16Z,В Тульской области меняется система оплаты труда работников госучреждений,[],53764,"{'persons': [], 'organizations': [], 'locations': ['тульская область']}",[],[],['тульская область'],[]
[],2025-10-06T05:11:07Z,В российских авиагаванях задерживаются десятки рейсов,[],75625,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Политика', 'Конфликт']",2025-10-06T05:07:39Z,ОАК передала ВКС России новую партию Су-34,['Политика'],89493,"{'persons': [], 'organizations': ['ОАК', 'ВКС'], 'locations': ['россия']}",[],"['ОАК', 'ВКС']",['россия'],['RUS']
"['Трагическое', 'Желтуха']",2025-10-10T17:54:00Z,"Опубликованы фото жестких аварий, произошедших в Нижегородской области за одни сутки",[],85604,"{'persons': [], 'organizations': [], 'locations': ['нижегородская область']}",[],[],['нижегородская область'],[]
[],2025-10-10T09:02:44Z,Белгородскую школу будут баррикадировать с помощью бутылок и коробок с песком,[],10671,"{'persons': [], 'organizations': ['Белгородская школа'], 'locations': []}",[],['Белгородская школа'],[],[]
[],2025-09-06T11:04:00Z,Минпромторг: стандарт русской кухни утвердят до конца года,['Еда'],86964,"{'persons': [], 'organizations': ['Минпромторг'], 'locations': []}",[],['Минпромторг'],[],[]
[],2025-10-27T09:59:00Z,Новым начальником управления культуры исполкома Казани стала Алия Загидуллина,[],67131,"{'persons': ['Алия Загидуллина'], 'organizations': [], 'locations': ['казань']}",['Алия Загидуллина'],[],['казань'],[]
"['Желтуха', 'Политика', 'Конфликт']",2025-10-16T19:47:27Z,Разговор Путина и Трампа: Больше всех не повезло Киеву и Соросу,['Политика'],11093,"{'persons': ['Сорос', 'Трамп', 'Путин'], 'organizations': [], 'locations': ['киев']}","['Сорос', 'Трамп', 'Путин']",[],['киев'],[]
[],2025-11-01T21:30:00Z,SNN сообщил о пожаре в Ширазе,[],38522,"{'persons': [], 'organizations': ['SNN'], 'locations': ['шираз']}",[],['SNN'],['шираз'],[]
"['Желтуха', 'Политика', 'Конфликт']",2025-09-30T14:27:29Z,"США при Байдене отдали все оружие Украине, заявил Трамп",['Политический конфликт'],41246,"{'persons': ['Байден', 'Трамп'], 'organizations': [], 'locations': ['украина', 'сша']}","['Байден', 'Трамп']",[],"['украина', 'сша']","['UKR', 'USA']"
['Желтуха'],2025-09-16T14:10:52Z,Аделии Петросян окончательно отказали в поддержке: Глейхенгауза никто не заменит,['Спорт'],78443,"{'persons': ['Аделии Петросян', 'Глейхенгауза'], 'organizations': [], 'locations': []}","['Аделии Петросян', 'Глейхенгауза']",[],[],[]
['Трагическое'],2025-09-04T13:10:48Z,Умер младший сын Эрнеста Хемингуэя Патрик,[],92212,"{'persons': ['Патрик', 'Эрнест Хемингуэй'], 'organizations': [], 'locations': []}","['Патрик', 'Эрнест Хемингуэй']",[],[],[]
[],2025-10-23T06:57:24Z,В Тюмени пройдет хоккейный матч в честь форума «ИНФОТЕХ»,['Спорт'],63731,"{'persons': [], 'organizations': [], 'locations': ['тюмень']}",[],[],['тюмень'],[]
"['Политика', 'Конфликт']",2025-10-01T17:30:00Z,"Что произошло за день: среда, 1 октября",[],19430,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-10-31T11:26:00Z,Коуча Аяза Шабутдинова приговорили к 7 годам колонии,[],60487,"{'persons': ['Коуча Аяз Шабутдинов'], 'organizations': [], 'locations': []}",['Коуча Аяз Шабутдинов'],[],[],[]
"['Трагическое', 'Желтуха', 'Конфликт']",2025-10-31T11:26:00Z,ВКС России разбомбили значимый для ВСУ мост,['Политический конфликт'],53394,"{'persons': [], 'organizations': ['ВСУ', 'ВКС'], 'locations': ['россия']}",[],"['ВСУ', 'ВКС']",['россия'],['RUS']
[],2025-09-25T13:17:02Z,"В центре Кургана закрывается аптека, а фармацевт отказывается выдавать лекарства",[],41233,"{'persons': [], 'organizations': [], 'locations': ['курган']}",[],[],['курган'],[]
['Политика'],2025-09-04T10:52:48Z,Минздрав назвал СВО катализатором развития медицинской реабилитации в России,[],85128,"{'persons': [], 'organizations': ['Минздрав', 'СВО'], 'locations': ['россия']}",[],"['Минздрав', 'СВО']",['россия'],['RUS']
[],2025-10-01T16:50:17.276000Z,В Твери ограничили движение и парковку на Молодежном бульваре,[],89342,"{'persons': [], 'organizations': [], 'locations': ['тверь', 'молодежный бульвар']}",[],[],"['тверь', 'молодежный бульвар']",[]
[],2025-10-05T04:04:00Z,"МВД рекомендует россиянам не указывать в соцсетях полные фамилию, имя и отчество",[],52841,"{'persons': [], 'organizations': ['МВД'], 'locations': []}",[],['МВД'],[],[]
[],2025-09-18T17:48:00Z,Northrop Grumman справилась с отказавшими двигателями — космогрузовик Cygnus XL долетел до МКС,[],57810,"{'persons': [], 'organizations': ['МКС', 'Northrop Grumman'], 'locations': []}",[],"['МКС', 'Northrop Grumman']",[],[]
['Желтуха'],2025-10-07T14:14:00Z,«Я выкину эту жабу с четвертого этажа»: в доме многодетной матери происходят страшные вещи,[],88956,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
"['Трагическое', 'Конфликт']",2025-09-12T11:32:00Z,В Крыму простились с героем СВО Владимиром Горбуновым,['Политический конфликт'],80208,"{'persons': ['Владимир Горбунов'], 'organizations': ['СВО'], 'locations': ['крым']}",['Владимир Горбунов'],['СВО'],['крым'],[]
[],2025-10-09T08:49:18Z,В Калининграде прошла Акция направлена на повышение рождаемости,[],60007,"{'persons': [], 'organizations': [], 'locations': ['калининград']}",[],[],['калининград'],[]
"['Желтуха', 'Политика', 'Конфликт']",2025-10-13T10:42:02Z,"В Польше признали, что находятся в состоянии войны с Россией","['Политика', 'Политический конфликт']",44579,"{'persons': [], 'organizations': [], 'locations': ['россия', 'польша']}",[],[],"['россия', 'польша']","['RUS', 'POL']"
['Трагическое'],2025-09-09T09:12:00Z,В Ейске из-за крупного пожара в зоопарке погибли 28 крокодилов и одна черепаха,[],10986,"{'persons': [], 'organizations': [], 'locations': ['ейск']}",[],[],['ейск'],[]
"['Политика', 'Конфликт']",2025-10-26T22:50:03Z,"Москоские аэропорты временно закрыты, уже сбито 9 беспилотников",['Политический конфликт'],52307,"{'persons': [], 'organizations': ['Москоские аэропорты'], 'locations': []}",[],['Москоские аэропорты'],[],[]
"['Желтуха', 'Политика']",2025-09-26T00:40:34Z,"Джеймс Коми заявил, что невиновен",['Политика'],25439,"{'persons': ['Джеймс Коми'], 'organizations': [], 'locations': []}",['Джеймс Коми'],[],[],[]
['Политика'],2025-09-01T12:39:00Z,Индия заблокировала членство Азербайджана в ШОС из-за связей с Пакистаном,['Политика'],9510,"{'persons': [], 'organizations': ['ШОС'], 'locations': ['азербайджан', 'пакистан', 'индия']}",[],['ШОС'],"['азербайджан', 'пакистан', 'индия']","['PAK', 'IND', 'AZE']"
"['Политика', 'Конфликт']",2025-09-03T10:24:16Z,Песков: Мерц допустил много нехороших высказываний в адрес Путина,['Политика'],38865,"{'persons': ['Путин', 'Мерц'], 'organizations': [], 'locations': []}","['Путин', 'Мерц']",[],[],[]
['Политика'],2025-10-03T00:42:00Z,Министр Байрактар: Турция не откажется от закупки газа у России,['Политика'],68738,"{'persons': ['Байрактар'], 'organizations': [], 'locations': ['турция', 'россия']}",['Байрактар'],[],"['турция', 'россия']","['RUS', 'TUR']"
['Желтуха'],2025-09-28T10:52:15Z,"Xiaomi OpenWear Stereo Pro: пять драйверов, ноль восторга — тест уникальных открытых наушников без утечек звука",['Гаджеты и IT'],26604,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
['Политика'],2025-09-20T12:00:00Z,Туск: 10 стран НАТО присоединились к операции «Восточный страж» в Польше,['Политика'],37175,"{'persons': [], 'organizations': ['НАТО'], 'locations': ['польша']}",[],['НАТО'],['польша'],['POL']
[],2025-09-20T12:03:02Z,Заняли места у Кремля: как Москва встречает гостей «Интервидения»,[],17867,"{'persons': [], 'organizations': ['Интервидения'], 'locations': ['кремль', 'москва']}",[],['Интервидения'],"['кремль', 'москва']",[]
[],2025-10-29T12:00:02Z,Первой ультрамарафонщицей России стала многодетная мама из Архангельской области,[],74390,"{'persons': [], 'organizations': ['Первая ультрамарафонщица'], 'locations': ['архангельская область', 'россия']}",[],['Первая ультрамарафонщица'],"['архангельская область', 'россия']",['RUS']
[],2025-10-22T09:48:14Z,Гребенщикова* оштрафовали за нарушение порядка деятельности иноагентов,[],47574,"{'persons': ['Гребенщиков'], 'organizations': [], 'locations': []}",['Гребенщиков'],[],[],[]
"['Политика', 'Конфликт']",2025-10-22T09:46:32Z,Минобороны предложило направлять резервистов на сборы для защиты объектов,['Политический конфликт'],67177,"{'persons': [], 'organizations': ['Минобороны'], 'locations': []}",[],['Минобороны'],[],[]
[],2025-10-20T18:36:45Z,«Уралмаш» в гостях потерпел поражение от «Зенита»,[],33119,"{'persons': [], 'organizations': ['Зенит', 'Уралмаш'], 'locations': []}",[],"['Зенит', 'Уралмаш']",[],[]
[],2025-09-22T12:49:09Z,"Синоптик заявил, что больше солнечных дней в сентябре не будет",[],79805,"{'persons': [], 'organizations': [], 'locations': []}",[],[],[],[]
[],2025-10-06T09:20:04Z,В Петербурге установят памятник участникам СВО,[],73258,"{'persons': [], 'organizations': [], 'locations': ['петербург']}",[],[],['петербург'],[]
[],2025-10-19T05:29:24.584000Z,МЧС России 120 дней сопровождало туристку на Большой уральской тропе,[],5962,"{'persons': [], 'organizations': ['МЧС'], 'locations': ['россия']}",[],['МЧС'],['россия'],['RUS']
['Желтуха'],2025-10-31T14:24:50Z,Милана Стар облачилась в «мясное» платье на Хэллоуин,['Красота и стиль'],44933,"{'persons': ['Милан Стар'], 'organizations': [], 'locations': []}",['Милан Стар'],[],[],[]
[],2025-09-07T06:49:36Z,В России объявили в международный розыск гражданина Литвы,['Политика'],15698,"{'persons': [], 'organizations': [], 'locations': ['россия', 'литва']}",[],[],"['россия', 'литва']","['LTU', 'RUS']"
[],2025-09-08T12:10:54Z,Премиальные Zeekr и Lixiang массово растаможены с нарушениями: как лизинговые компании обходят запреты Минпромторга,['Личный транспорт'],30743,"{'persons': [], 'organizations': ['Lixiang', 'Zeekr', 'Минпромторг'], 'locations': []}",[],"['Lixiang', 'Zeekr', 'Минпромторг']",[],[]
['Политика'],2025-10-15T14:04:22Z,Британия расширила санкции против России на 90 позиций,['Политика'],45134,"{'persons': [], 'organizations': [], 'locations': ['британия', 'россия']}",[],[],"['британия', 'россия']","['GBR', 'RUS']"
[],2025-10-21T08:50:16Z,Экс-адвоката Митрошиной обвинили в мошенничестве на 75 миллион рублей,[],2528,"{'persons': ['Экс-адвокат Митрошиной'], 'organizations': [], 'locations': []}",['Экс-адвокат Митрошиной'],[],[],[]
[],2025-10-02T07:20:43Z,В России могут ввести обязательный учет домашних животных,[],78032,"{'persons': [], 'organizations': [], 'locations': ['россия']}",[],[],['россия'],['RUS']
